"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"KT","X7 Esports","ADC",6,"83%",,45,21,70,5.5,"66.1%","25.9%","20.2%","17%",347,279,7.5,9.2,"30.8%",733,"24.5%","25.9%",349,"25.3%",0,0.38,0.12,0.34
"Laatch","unknown team","ADC",5,"40%",,30,25,23,2.1,"56.4%","31.9%","24.8%","40%",706,764,16.8,9,"34.4%",683,"29.3%","34.4%",327,"28.1%",0,0.35,0.14,0.24
"Laatch","Ruddy Esports","ADC",1,"100%",,6,3,6,4,"41.4%","20.7%","18.8%","0%",-44,667,8,8.6,"25.3%",894,"29.9%","31.3%",343,"23.4%",0,0.35,0.1,0.31
"Lagsw0w","Hydras Esport","Top",2,"100%",,3,4,12,3.8,"39.5%","7.9%","16.7%","0%",-468,17,-5,7.1,"22.4%",399,"19.3%","20.4%",232,"19.6%",0,0.43,0.13,0.04
"legoman","Guarp Gaming","Jungle",6,"33%",,17,31,36,1.7,"61.6%","19.8%","21.5%","17%",-365,-205,1,5.7,"22.3%",403,"17.7%","17.8%",209,"21.1%",0,0.18,0.16,0.36
"Leks","AaB Esport","Top",6,"0%",,17,31,16,1.1,"55.9%","28.8%","23.1%","0%",-343,-110,-10.5,6.5,"22.8%",459,"24.8%","22.7%",211,"22.3%",0,0.38,0.12,0.05
"Limitless","XAL Esports","ADC",5,"40%",,35,20,32,3.4,"66.3%","34.7%","20.0%","40%",-63,-83,-5.4,8,"30.5%",609,"25.0%","25.6%",310,"26.1%",0,0.29,0.04,0.18
"Lulas","NYYRIKKI","Jungle",6,"83%",,9,7,64,10.4,"67.6%","8.3%","12.1%","33%",-59,126,1.5,4.3,"12.3%",289,"13.8%","14.4%",189,"15.5%",0,0.24,0.22,0.13
"Lunddorf","Nativz","Top",5,"100%",,12,11,43,5,"48.7%","10.6%","26.8%","60%",612,550,14.6,7.8,"18.0%",529,"19.7%","15.2%",295,"19.6%",0,0.29,0.12,0.11
"Lyncas","Dusty","Jungle",6,"100%",,38,14,51,6.4,"57.8%","24.7%","17.9%","67%",768,575,14.2,6.6,"18.7%",643,"22.2%","22.9%",328,"21.4%",0,0.31,0.19,0.08
"Merza","Team Singularity","Middle",6,"50%",,23,12,32,4.6,"50.9%","21.3%","12.6%","17%",-119,76,2.3,7.8,"26.2%",511,"22.8%","23.3%",258,"23.1%",0,0.32,0.12,0.16
"Mishigu","MNM Gaming","ADC",6,"33%",,28,26,33,2.3,"61.0%","28.0%","21.1%","50%",-246,-155,-7,7.9,"29.3%",485,"20.5%","22.8%",276,"24.8%",0,0.34,0.15,0.29
"MKL","Viperio","ADC",6,"33%",,20,21,27,2.2,"54.7%","23.3%","18.3%","50%",407,-40,2.2,8.3,"26.9%",392,"20.5%","21.3%",252,"23.1%",0,0.37,0.09,0.25
"Moosey","Munster Rugby Gaming","Support",6,"17%",,12,29,61,2.5,"66.4%","10.9%","19.0%","0%",5,144,-2.5,0.9,"3.2%",365,"13.3%","12.5%",113,"10.6%",0,1.46,0.24,0.19
"Moxokx","Lundqvist Lightside","ADC",6,"50%",,30,10,32,6.2,"67.4%","32.6%","13.0%","17%",98,-82,-1.2,9.5,"36.2%",702,"28.7%","30.6%",339,"29.0%",0,0.41,0.12,0.15
"Mrozku","JD|XL","Middle",7,"100%",,43,9,40,9.2,"47.4%","24.6%","11.5%","14%",622,509,12.3,9.2,"27.8%",599,"19.9%","22.3%",348,"22.9%",1,0.29,0.06,0.16
"Mutra","Viperio","Jungle",1,"0%",,2,2,2,2,"44.4%","22.2%","10.5%","0%",142,-137,20,7.9,"23.9%",302,"17.5%","21.7%",202,"19.9%",0,0.27,0.06,0.03
"Nash","Riddle Esports","Support",6,"100%",,7,10,81,8.8,"66.7%","5.3%","16.7%","33%",58,91,1.5,1.1,"2.7%",183,"7.1%","6.4%",123,"9.2%",0,1.68,0.28,0.38
"nBeezy","Lundqvist Lightside","Top",6,"50%",,19,15,30,3.3,"53.3%","20.7%","19.5%","17%",1,225,-1.3,7.4,"23.6%",512,"21.2%","21.1%",251,"21.5%",0,0.31,0.04,0.06
"Nijhuis","UniQ Esports Club","Top",6,"17%",,17,18,29,2.6,"62.2%","23.0%","13.4%","17%",-110,-273,-3.8,8.6,"30.8%",489,"24.7%","22.4%",267,"26.0%",0,0.4,0.1,0.09
"OmulFinn","Domino Esport","Jungle",6,"67%",,19,24,62,3.4,"61.4%","14.4%","21.1%","33%",-194,-635,-12.7,5.4,"18.1%",412,"14.3%","14.4%",244,"18.6%",0,0.2,0.16,0.33
"Oqi","AaB Esport","ADC",6,"0%",,12,22,17,1.3,"49.2%","20.3%","16.4%","17%",-477,-509,-9.8,7.9,"29.3%",482,"25.3%","27.9%",238,"25.0%",0,0.31,0.09,0.18
"Panda","Hydras Esport","Jungle",4,"50%",,12,12,23,2.9,"60.3%","20.7%","15.8%","0%",-128,-141,-7.3,5.2,"17.3%",320,"15.4%","15.1%",209,"20.4%",1,0.25,0.21,0.32
"pawp","unknown team","Jungle",6,"17%",,18,38,65,2.2,"73.5%","15.9%","22.4%","50%",-409,-423,-16.2,3.9,"13.9%",426,"16.3%","16.2%",178,"17.2%",0,0.19,0.02,0.31
"Pehrson","Team Singularity","Support",6,"50%",,10,21,71,3.9,"75.0%","9.3%","22.1%","33%",-93,219,2.7,1,"2.8%",175,"7.7%","6.5%",123,"11.0%",0,1.18,0.34,0.33
"Pepi","Lundqvist Lightside","Middle",6,"50%",,14,15,50,4.3,"69.6%","15.2%","19.5%","17%",-520,-125,-5.3,7.7,"24.8%",602,"24.9%","26.5%",249,"21.3%",0,0.44,0.13,0.14
"Petoska","Verdant","Top",6,"50%",,32,29,24,1.9,"48.3%","27.6%","19.2%","0%",486,482,10.7,7.7,"26.9%",652,"23.7%","22.9%",290,"24.9%",1,0.25,0.02,0.07
"Poopy","Blade Edge","Support",4,"50%",,3,14,56,4.2,"69.4%","3.5%","16.7%","25%",-41,-214,0,1,"2.8%",251,"8.8%","9.8%",113,"10.3%",1,1.14,0.22,0.14
"ptatis","unknown team","Support",3,"33%",,6,16,25,1.9,"55.4%","10.7%","20.5%","33%",122,-11,-2.7,0.6,"2.1%",312,"12.9%","12.3%",122,"10.5%",0,0.91,0.19,0.3
"Quicksie","Guarp Gaming","ADC",6,"33%",,28,31,29,1.8,"66.3%","32.6%","21.5%","33%",-627,-230,-13,7.2,"29.0%",600,"25.8%","26.3%",259,"24.3%",0,0.33,0.1,0.12
"Quicktimer","Bifrost","Support",6,"100%",,9,21,93,4.9,"62.2%","5.5%","29.6%","83%",155,16,5,1.1,"2.7%",282,"9.1%","7.7%",159,"10.9%",0,1.28,0.24,0.31
"Raion","Viperio","Jungle",5,"40%",,8,20,49,2.9,"74.0%","10.4%","20.8%","60%",-278,-162,-6.2,4.9,"13.8%",351,"17.6%","18.1%",182,"16.3%",0,0.35,0.1,0.33
"Rifty","unknown team","Top",5,"40%",,12,14,22,2.4,"36.2%","12.8%","13.9%","0%",407,334,1.8,7.6,"25.2%",484,"20.4%","18.9%",250,"21.3%",0,0.26,0.07,0.15
"Rifty","Ruddy Esports","Top",1,"100%",,6,1,13,19,"65.5%","20.7%","6.3%","0%",912,2,4,7.8,"23.2%",734,"24.5%","25.2%",351,"23.9%",0,0.24,0.07,0.03
"Riron","Munster Rugby Gaming","ADC",6,"17%",,25,26,35,2.3,"54.5%","22.7%","17.0%","0%",-351,-771,-14.7,8.2,"36.1%",588,"20.3%","22.0%",275,"25.8%",0,0.37,0.15,0.22
"Riziki","Vanir","ADC",4,"0%",,6,19,11,0.9,"68.0%","24.0%","20.7%","25%",-214,-465,-1.5,7.8,"31.0%",359,"21.3%","23.5%",235,"29.8%",0,0.33,0.19,0.15
"Romuka","NYYRIKKI","Top",6,"83%",,32,11,27,5.4,"54.6%","29.6%","19.0%","33%",341,-21,8.5,8.4,"29.7%",504,"23.6%","22.7%",308,"25.0%",0,0.35,0.14,0.05
"Röyhkeä","unknown team","ADC",6,"33%",,19,20,13,1.6,"46.4%","27.5%","20.8%","33%",172,48,5,8.4,"27.4%",531,"26.2%","29.0%",268,"25.2%",0,0.35,0.12,0.15
"RustySniper","unknown team","ADC",2,"0%",,16,8,18,4.3,"63.0%","29.6%","22.2%","0%",777,241,11,9.6,"37.9%",834,"27.8%","32.0%",367,"32.6%",0,0.28,0.08,0.28
"RustySniper","Blade Edge","ADC",4,"50%",,42,19,20,3.3,"72.9%","49.4%","22.6%","25%",497,-491,-1.3,8.2,"30.0%",959,"34.2%","37.1%",373,"31.1%",0,0.28,0.07,0.32
"Rylle","Nativz","Middle",5,"100%",,33,2,27,30,"53.1%","29.2%","4.9%","40%",381,400,8,8.3,"25.8%",668,"24.9%","25.2%",351,"23.2%",0,0.35,0.07,0.17
"Selfway","Hydras Esport","Support",3,"33%",,3,17,16,1.1,"57.6%","9.1%","27.9%","0%",-297,-149,0.7,0.8,"1.9%",205,"10.5%","7.5%",94,"9.7%",0,1.45,0.4,0.15
"Selfway","unknown team","Support",2,"50%",,6,7,19,3.6,"67.6%","16.2%","17.5%","50%",427,448,-0.5,0.9,"1.8%",228,"9.1%","8.2%",116,"10.1%",0,2.22,0.52,0.16
"Sencux","Astralis Talent","Middle",6,"83%",,38,12,65,8.6,"67.8%","25.0%","17.4%","17%",1036,503,25.5,7.7,"22.1%",678,"26.5%","26.8%",307,"22.6%",0,0.4,0.17,0.11
"Septico","unknown team","Top",6,"50%",,32,26,23,2.1,"56.7%","33.0%","22.2%","0%",257,-24,6.7,7.9,"26.1%",670,"27.9%","26.4%",302,"26.1%",0,0.3,0.03,0.13
"Shafty","unknown team","Jungle",5,"40%",,22,20,41,3.2,"67.0%","23.4%","19.8%","20%",561,591,18,6.1,"19.0%",409,"18.2%","17.8%",248,"21.4%",1,0.33,0.14,0.31
"Shafty","Ruddy Esports","Jungle",1,"100%",,8,0,9,17,"58.6%","27.6%","0.0%","0%",1443,398,10,8.5,"24.7%",492,"16.4%","12.2%",363,"24.7%",0,0.48,0.17,0.28
"Sharp","KAOS e-sport","Jungle",6,"67%",,17,23,49,2.9,"58.4%","15.0%","21.7%","33%",-3,180,5.3,4.6,"14.4%",371,"12.8%","12.4%",195,"16.2%",1,0.28,0.25,0.28
"Shieda","Hydras Esport","Support",1,"100%",,2,6,13,2.5,"60.0%","8.0%","40.0%","0%",53,-200,-1,1.8,"6.9%",311,"12.3%","11.8%",128,"10.9%",0,1.49,0.25,0.57
"Shieda","unknown team","Top",1,"100%",,3,5,5,1.6,"28.6%","10.7%","26.3%","100%",-968,-1179,-24,5.9,"26.3%",398,"13.8%","14.8%",229,"17.3%",0,0.39,0.07,0.07
"Shieda","Hydras Esport","Top",2,"0%",,2,10,5,0.7,"35.0%","10.0%","19.2%","0%",-113,-188,-0.5,7.1,"24.2%",506,"24.7%","21.8%",187,"21.5%",0,0.36,0.06,0.1
"Shikari","Bifrost","Top",6,"100%",,40,7,36,10.9,"46.3%","24.4%","9.9%","17%",346,207,13.3,8.2,"25.4%",731,"23.9%","22.6%",323,"22.1%",0,0.44,0.18,0.12
"Sips","Team Singularity","Top",6,"50%",,26,26,29,2.1,"50.9%","24.1%","27.4%","0%",-375,93,-2.5,8,"30.4%",582,"26.7%","25.7%",271,"24.2%",0,0.4,0.12,0.11
"Slice","unknown team","Jungle",6,"33%",,19,25,40,2.4,"81.9%","26.4%","23.4%","67%",609,333,3,6.7,"21.5%",421,"25.0%","25.1%",248,"22.3%",0,0.3,0.24,0.36
"SlowQ","X7 Esports","Middle",6,"83%",,45,20,63,5.4,"62.1%","25.9%","19.2%","0%",110,269,0,8.1,"25.3%",756,"26.0%","26.9%",324,"24.0%",0,0.35,0.1,0.14
"Sn1lle","Nativz","Jungle",5,"100%",,25,6,33,9.7,"51.3%","22.1%","14.6%","80%",701,369,1.8,6.4,"19.7%",484,"17.3%","19.2%",314,"20.9%",0,0.22,0.17,0.1
"Snabipojk","Domino Esport","Support",6,"67%",,5,28,74,2.8,"59.8%","3.8%","24.6%","17%",15,42,1,1.2,"4.6%",412,"13.8%","13.5%",133,"10.3%",0,1.17,0.26,0.38
"Sof","MNM Gaming","Jungle",6,"33%",,26,26,55,3.1,"81.0%","26.0%","21.1%","50%",602,417,11.7,5.5,"19.3%",444,"19.1%","20.7%",248,"22.2%",0,0.33,0.23,0.26
"Softorious","Team Singularity","Jungle",6,"50%",,9,21,62,3.4,"65.7%","8.3%","22.1%","33%",-342,-301,-2.7,4.8,"14.3%",275,"11.8%","12.0%",178,"15.6%",0,0.26,0.11,0.28
"Spark","unknown team","ADC",6,"17%",,40,40,38,2,"69.0%","35.4%","23.5%","17%",-552,-377,-16.5,6.9,"29.0%",882,"32.1%","33.7%",290,"26.2%",0,0.4,0.03,0.25
"Spooder","Domino Esport","Top",6,"67%",,39,14,37,5.4,"57.6%","29.5%","12.3%","17%",225,35,5.2,7.6,"23.1%",694,"23.1%","19.9%",310,"24.1%",0,0.37,0.15,0.24
"Stefan","Riddle Esports","Jungle",6,"100%",,28,11,62,8.2,"68.2%","21.2%","18.3%","33%",511,561,7.5,7.4,"23.5%",578,"21.8%","23.4%",309,"22.9%",1,0.59,0.16,0.44
"Stend","Dusty","Support",6,"100%",,5,22,92,4.4,"63.0%","3.2%","28.2%","50%",178,196,0.8,1.2,"2.3%",204,"6.9%","5.6%",150,"9.7%",0,1,0.27,0.34
"sumi","Verdant","Middle",6,"50%",,24,28,49,2.6,"62.9%","20.7%","18.5%","0%",-393,77,-0.2,7.5,"26.1%",730,"25.9%","25.8%",255,"21.6%",0,0.28,0.07,0.11
"Surgeon","XAL Esports","Jungle",2,"0%",,2,13,20,1.7,"56.4%","5.1%","23.6%","0%",-36,64,0,4.9,"14.8%",387,"17.4%","17.7%",172,"16.7%",0,0.19,0.18,0.24
"Syn","RATE Gaming","ADC",6,"67%",,31,13,38,5.3,"71.1%","32.0%","19.1%","0%",64,253,3.5,8.9,"29.1%",546,"25.8%","28.3%",309,"25.4%",0,0.27,0.08,0.27
"Tabby","X7 Esports","Support",6,"83%",,14,16,123,8.6,"78.7%","8.0%","15.4%","33%",182,100,-3,1,"3.0%",292,"9.3%","8.1%",153,"10.6%",0,1.43,0.23,0.4
"Tatuy","unknown team","Top",1,"0%",,4,6,6,1.7,"47.6%","19.0%","25.0%","100%",2970,1166,31,6.6,"20.3%",491,"19.4%","16.6%",253,"22.2%",0,0.42,0.11,0.11
"Taxer","Astralis Talent","Jungle",6,"83%",,21,9,88,12.1,"71.7%","13.8%","13.0%","50%",692,363,-1.3,4.5,"12.7%",414,"16.1%","15.7%",246,"18.0%",0,0.28,0.31,0.17
"TheHeathen","unknown team","Support",6,"17%",,7,35,79,2.5,"76.1%","6.2%","20.6%","17%",-368,-254,8.8,1.9,"6.6%",281,"11.0%","10.5%",132,"11.9%",0,0.92,0.27,0.14
"Tide","Verdant","ADC",6,"50%",,14,28,59,2.6,"62.9%","12.1%","18.5%","33%",-537,-313,-11.5,7.1,"22.9%",545,"20.6%","21.1%",240,"20.5%",0,0.33,0.07,0.09
"Touch","Verdant","Support",6,"50%",,10,42,66,1.8,"65.5%","8.6%","27.8%","33%",-27,11,0.7,1.2,"3.2%",189,"6.9%","6.6%",115,"10.0%",0,1.79,0.43,0.42
"Venzer","JD|XL","ADC",7,"100%",,45,20,69,5.7,"65.1%","25.7%","25.6%","57%",1265,798,25.3,8.8,"27.8%",766,"25.4%","25.5%",371,"24.6%",0,0.33,0.09,0.26
"Victa","Blade Edge","Top",4,"50%",,15,20,34,2.5,"57.6%","17.6%","23.8%","75%",45,276,-6,6.5,"21.3%",606,"22.2%","19.1%",226,"19.4%",0,0.38,0.04,0.07
"Viggomopsen","Guarp Gaming","Top",6,"33%",,16,29,32,1.7,"55.8%","18.6%","20.1%","17%",-329,-214,-5.3,6.9,"21.6%",541,"24.3%","23.9%",231,"21.2%",0,0.34,0.03,0.15
"Viking","X7 Esports","Jungle",6,"83%",,23,22,96,5.4,"68.4%","13.2%","21.2%","50%",-190,-174,-0.8,4.9,"13.4%",467,"15.6%","15.0%",224,"16.3%",1,0.21,0.14,0.21
"Wayzen","Viperio","Middle",6,"33%",,29,21,22,2.4,"59.3%","33.7%","18.3%","17%",134,40,1,8.1,"25.1%",452,"24.7%","24.5%",260,"24.2%",0,0.39,0.19,0.09
"x4NTY","unknown team","Top",6,"33%",,12,20,30,2.1,"58.3%","16.7%","18.7%","50%",-46,-29,-13.2,7,"23.0%",380,"21.7%","20.7%",227,"20.7%",0,0.35,0.1,0.11
"Xero","Domino Esport","Middle",6,"67%",,20,23,50,3,"53.0%","15.2%","20.2%","17%",-17,-185,-2.5,7.2,"22.8%",707,"23.4%","24.5%",271,"20.7%",0,0.33,0.11,0.09
"Zhandia","KAOS e-sport","Middle",6,"67%",,29,27,39,2.5,"60.2%","25.7%","25.5%","17%",117,-42,0.2,8.5,"28.1%",771,"26.9%","26.1%",305,"25.1%",0,0.26,0.04,0.14
"Zpikee","Team Singularity","ADC",6,"50%",,40,15,39,5.3,"73.1%","37.0%","15.8%","17%",-27,304,-2.7,7.3,"26.3%",670,"31.0%","32.4%",290,"26.1%",0,0.31,0.09,0.15
"Zvene","Lundqvist Lightside","Support",6,"50%",,6,14,68,5.3,"80.4%","6.5%","18.2%","33%",83,-141,2,0.7,"2.4%",239,"10.3%","7.5%",115,"9.8%",0,0.96,0.24,0.17
